Word,Length,Log_Freq_HAL,I_Mean_RT,I_Mean_Accuracy
a,1,16.18,798.92,0.73
aah,3,5.4,816.43,0.62
Aaron,5,9.29,736.06,0.97
aback,5,5.96,796.27,0.45
abacus,6,6.24,964.4,0.47
abandon,7,8.23,695.72,0.97
abandoned,9,8.55,860.77,0.91
abandoning,10,6.91,740.55,1
abandonment,11,6.67,771.09,1
abase,5,3.4,803.27,0.69
abasement,9,1.95,1037.06,0.53
abash,5,0,748.71,0.68
abate,5,5.63,719.54,0.71
abated,6,4.97,894.23,0.69
abbess,6,3.5,885.14,0.22
abbey,5,7.73,726.19,0.66
abbot,5,6.42,808.58,0.71
abbreviate,10,5.31,795.03,0.94
abbreviated,11,7.1,698.45,0.94
abbreviation,12,7.55,728.91,1
abbreviations,13,7.82,729.13,0.91
abdicate,8,4.77,1056,0.56
abdomen,7,7.15,813.43,0.88
abdominal,9,6.75,715.55,0.94
abduct,6,5.19,769.67,0.88
abduction,9,7.6,795.88,0.94
Abe,3,7.12,820.67,1
abed,4,4.96,887.5,0.29
Abel,4,6.92,782.75,0.65
Abel's,6,3.95,840.14,0.82
aberrant,8,5.11,955.38,0.38
aberration,10,6.32,946.55,0.63
aberrations,11,5.7,1005.37,0.58
abet,4,4.39,792,0.32
abetted,7,4.88,998.5,0.53
abeyance,8,3.58,914,0.13
abhor,5,5.95,786.15,0.57
abhorred,8,4.47,798.44,0.56
abhorrent,9,5.9,794.15,0.41
abide,5,7.58,773.21,0.94
abides,6,6.09,750.63,0.82
abiding,7,7.22,784.67,0.82
Abigail,7,6.54,881.12,0.81
abilities,9,9.11,657.06,0.97
ability,7,10.95,619.68,0.97
abject,6,6.22,692.67,0.28
ablaze,6,5.04,740.73,0.65
able,4,12.08,623.3,1
ably,4,5.55,796.14,0.42
abnormal,8,7.7,684.91,1
abnormalities,13,6.47,898.37,0.91
abnormality,11,5.67,781.44,1
abnormally,10,5.92,843.26,0.97
aboard,6,8.22,628.16,0.94
abode,5,6.19,855.83,0.88
abolish,7,7.38,703.22,0.97
abolished,9,7.28,664.63,0.97
abolition,9,6.72,834.33,0.91
abolitionist,12,4.9,982.89,0.9
abolitionists,13,4.61,1010.97,0.97
abominable,10,6.16,829.07,0.93
abominate,9,1.1,888.59,0.82
aboriginal,10,7.29,916.73,0.67
aborigine,9,4.26,933.6,0.31
aborigines,10,6.24,977.36,0.69
abort,5,7.93,672.48,0.97
abortion,8,9.73,686.45,0.97
abortionist,11,5.33,833.82,0.97
abortions,9,8.23,774.63,0.97
abortive,8,5.36,881.08,0.79
abound,6,6.97,768.9,0.91
abounded,8,4.36,832.31,0.88
